id,date,title,vol,iss,prev_id,next_id,restricted
sim_notes-and-queries_1849-11-03_1_1,1849-11-03,Notes and Queries  1849-11-03: Vol 1 Iss 1,1,1,sim_notes-and-queries_1849-1850_1_index,sim_notes-and-queries_1849-11-10_1_2,
sim_notes-and-queries_1849-11-10_1_2,1849-11-10,Notes and Queries  1849-11-10: Vol 1 Iss 2,1,2,sim_notes-and-queries_1849-11-03_1_1,sim_notes-and-queries_1849-11-17_1_3,
sim_notes-and-queries_1849-11-17_1_3,1849-11-17,Notes and Queries  1849-11-17: Vol 1 Iss 3,1,3,sim_notes-and-queries_1849-11-10_1_2,sim_notes-and-queries_1849-11-24_1_4,
sim_notes-and-queries_1849-11-24_1_4,1849-11-24,Notes and Queries  1849-11-24: Vol 1 Iss 4,1,4,sim_notes-and-queries_1849-11-17_1_3,sim_notes-and-queries_1849-12-01_1_5,
sim_notes-and-queries_1849-12-01_1_5,1849-12-01,Notes and Queries  1849-12-01: Vol 1 Iss 5,1,5,sim_notes-and-queries_1849-11-24_1_4,sim_notes-and-queries_1849-12-08_1_6,
sim_notes-and-queries_1849-12-08_1_6,1849-12-08,Notes and Queries  1849-12-08: Vol 1 Iss 6,1,6,sim_notes-and-queries_1849-12-01_1_5,sim_notes-and-queries_1849-12-15_1_7,
sim_notes-and-queries_1849-12-15_1_7,1849-12-15,Notes and Queries  1849-12-15: Vol 1 Iss 7,1,7,sim_notes-and-queries_1849-12-08_1_6,sim_notes-and-queries_1849-12-22_1_8,
sim_notes-and-queries_1849-12-22_1_8,1849-12-22,Notes and Queries  1849-12-22: Vol 1 Iss 8,1,8,sim_notes-and-queries_1849-12-15_1_7,sim_notes-and-queries_1849-12-29_1_9,
sim_notes-and-queries_1849-12-29_1_9,1849-12-29,Notes and Queries  1849-12-29: Vol 1 Iss 9,1,9,sim_notes-and-queries_1849-12-22_1_8,sim_notes-and-queries_1850-01-05_1_10,
sim_notes-and-queries_1849-1850_1_index,1849 - 1850,Notes and Queries  1849 - 1850: Vol 1 Index,1,Index,,sim_notes-and-queries_1849-11-03_1_1,
sim_notes-and-queries_1850-01-05_1_10,1850-01-05,Notes and Queries  1850-01-05: Vol 1 Iss 10,1,10,sim_notes-and-queries_1849-12-29_1_9,sim_notes-and-queries_1850-01-12_1_11,
sim_notes-and-queries_1850-01-12_1_11,1850-01-12,Notes and Queries  1850-01-12: Vol 1 Iss 11,1,11,sim_notes-and-queries_1850-01-05_1_10,sim_notes-and-queries_1850-01-19_1_12,
sim_notes-and-queries_1850-01-19_1_12,1850-01-19,Notes and Queries  1850-01-19: Vol 1 Iss 12,1,12,sim_notes-and-queries_1850-01-12_1_11,sim_notes-and-queries_1850-01-26_1_13,
sim_notes-and-queries_1850-01-26_1_13,1850-01-26,Notes and Queries  1850-01-26: Vol 1 Iss 13,1,13,sim_notes-and-queries_1850-01-19_1_12,sim_notes-and-queries_1850-02-02_1_14,
sim_notes-and-queries_1850-02-02_1_14,1850-02-02,Notes and Queries  1850-02-02: Vol 1 Iss 14,1,14,sim_notes-and-queries_1850-01-26_1_13,sim_notes-and-queries_1850-02-09_1_15,
sim_notes-and-queries_1850-02-09_1_15,1850-02-09,Notes and Queries  1850-02-09: Vol 1 Iss 15,1,15,sim_notes-and-queries_1850-02-02_1_14,sim_notes-and-queries_1850-02-16_1_16,
